,Country,Indicator,Order,AIC,BIC
375,BWA,Social,"(1, 1, 0)",-210.74394945909918,-208.07954043874878
376,BWA,Vulnerability,"(3, 0, 2)",-220.46408332273091,-210.8930125128256
377,BWA,Water,"(2, 0, 0)",-273.35856575859367,-267.8893824386478
378,CAF,Capacity,"(2, 0, 0)",-242.2562539092209,-236.787070589275
379,CAF,Economic,"(0, 1, 0)",-106.2453363346348,-104.9131318244596
380,CAF,Ecosystems,"(0, 0, 3)",-309.94084994769895,-303.1043707977666
381,CAF,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
382,CAF,Food,"(0, 0, 2)",-147.3787535352286,-141.9095702152827
383,CAF,Governance,"(0, 0, 1)",-129.3008647655977,-125.19897727563828
384,CAF,Habitat,"(1, 0, 3)",-258.7708379746095,-250.56706299469064
385,CAF,Health,"(0, 1, 2)",-145.01115967340897,-141.01454614288335
386,CAF,Infrastructure,"(1, 0, 3)",-245.09271251144173,-236.88893753152288
387,CAF,Readiness,"(0, 1, 0)",-157.93540109185884,-156.60319658168362
388,CAF,Sensitivity,"(2, 0, 0)",-150.9372604111237,-145.4680770911778
389,CAF,Social,"(2, 0, 0)",-254.93605079901675,-249.46686747907086
390,CAF,Vulnerability,"(2, 0, 0)",-212.9364567892554,-207.4672734693095
391,CAF,Water,"(2, 0, 1)",-454.81699239829464,-447.9805132483623
392,CAN,Capacity,"(2, 0, 0)",-275.34331828756905,-269.87413496762315
393,CAN,Economic,"(1, 0, 1)",-132.962933016347,-127.4937496964011
394,CAN,Ecosystems,"(1, 0, 0)",-303.8073829424415,-299.70549545248207
395,CAN,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
396,CAN,Food,"(1, 0, 0)",-289.91007457090393,-285.8081870809445
397,CAN,Governance,"(1, 0, 1)",-158.30264237440056,-152.83345905445466
398,CAN,Habitat,"(1, 0, 1)",-258.8928669837641,-253.42368366381822
399,CAN,Health,"(1, 0, 2)",-284.2821141471066,-277.44563499717424
400,CAN,Infrastructure,"(2, 0, 0)",-587.1929226153594,-581.7237392954136
401,CAN,Readiness,"(2, 0, 0)",-175.70175211772977,-170.23256879778387
402,CAN,Sensitivity,"(2, 0, 1)",-319.36843065274877,-312.5319515028164
403,CAN,Social,"(0, 1, 0)",-157.3419242326978,-156.0097197225226
404,CAN,Vulnerability,"(2, 0, 0)",-337.9916982297098,-332.5225149097639
405,CAN,Water,"(2, 0, 0)",-490.81974235570516,-485.35055903575926
406,CHE,Capacity,"(0, 1, 0)",-167.57900663502016,-166.24680212484495
407,CHE,Economic,"(0, 1, 0)",-121.59927238674281,-120.26706787656761
