Country,Year,Feature,SHAP_Value
MLI,2019,Ecosystems,-0.000488587483247257
MLI,2020,Ecosystems,-2.2839022969009808e-05
MLI,2021,Ecosystems,-0.0010408142420260192
MLI,2022,Ecosystems,-0.0009139052223824036
MLI,2023,Ecosystems,-0.000930386513950817
MLI,2024,Ecosystems,-0.001026157969165097
MLI,2025,Ecosystems,-0.0010005558467507478
MLI,2026,Ecosystems,-0.0011010005063996238
MLI,2027,Ecosystems,-0.0009629165544780816
MLI,2028,Ecosystems,-0.0009246098551166707
MLI,2029,Ecosystems,-0.0009145702104778594
MLI,2030,Ecosystems,-0.0009042360462116367
MLI,2031,Ecosystems,-0.0008622246129312462
MLI,2032,Ecosystems,-0.0008508273100027991
MLI,2033,Ecosystems,-0.0008553512351316635
MLI,2034,Ecosystems,-0.0007845109570716081
MLI,2035,Ecosystems,-0.0007795434148381401
MLI,2036,Ecosystems,-0.0007755377998763507
MLI,2037,Ecosystems,-0.0007817409246217476
MLI,2038,Ecosystems,-0.0007795722593242015
MLI,2039,Ecosystems,-0.0007809420928082235
MLI,2040,Ecosystems,-0.0007603071659181724
MLT,1995,Ecosystems,-0.0024217540432641582
MLT,1996,Ecosystems,-0.0016032904989725654
MLT,1997,Ecosystems,-0.0015076513594758272
MLT,1998,Ecosystems,-0.002480760527437507
MLT,1999,Ecosystems,-0.001901856343800913
MLT,2000,Ecosystems,-0.002003342905792396
MLT,2001,Ecosystems,-0.0019124664018360465
MLT,2002,Ecosystems,-0.002012268216062803
MLT,2003,Ecosystems,-0.0020574667373317607
MLT,2004,Ecosystems,-0.0019990608181019377
MLT,2005,Ecosystems,-0.0019128535295139062
MLT,2006,Ecosystems,-0.0015213584085502618
MLT,2007,Ecosystems,-0.0015366243019669192
MLT,2008,Ecosystems,-0.001567503609929121
MLT,2009,Ecosystems,-0.0017577458169383627
MLT,2010,Ecosystems,-0.0013149558005548958
MLT,2011,Ecosystems,-0.0010899889638576051
MLT,2012,Ecosystems,-0.0017175954892568002
MLT,2013,Ecosystems,-0.0018680229979941986
MLT,2014,Ecosystems,0.0025020587011217506
MLT,2015,Ecosystems,0.0022272422744158554
MLT,2016,Ecosystems,-0.0021755821660022134
MLT,2017,Ecosystems,-0.0019383267896072383
MLT,2018,Ecosystems,-0.0018710300229994683
MLT,2019,Ecosystems,-0.0018644372751605368
MLT,2020,Ecosystems,-0.0017356720832384567
MLT,2021,Ecosystems,-0.0016944693780350708
MLT,2022,Ecosystems,0.002362286807173524
MLT,2023,Ecosystems,0.002356974413130742
MLT,2024,Ecosystems,0.002143961332355386
MLT,2025,Ecosystems,-0.0033323435771303073
MLT,2026,Ecosystems,-0.003054867507600726
MLT,2027,Ecosystems,-0.0033396028170695063
MLT,2028,Ecosystems,-0.0032785217188025396
MLT,2029,Ecosystems,-0.003151276569582892
MLT,2030,Ecosystems,-0.0030927353499436514
MLT,2031,Ecosystems,-0.003288867309339762
MLT,2032,Ecosystems,-0.0032328736811684153
MLT,2033,Ecosystems,-0.003248904658243653
MLT,2034,Ecosystems,-0.0032478099032198105
MLT,2035,Ecosystems,-0.0032537646288438
MLT,2036,Ecosystems,-0.0032520410785966823
MLT,2037,Ecosystems,-0.0032545829895234625
MLT,2038,Ecosystems,-0.0032549908382463267
MLT,2039,Ecosystems,-0.003246155554450969
MLT,2040,Ecosystems,-0.00324113022699398
MMR,1995,Ecosystems,0.003844080035538063
MMR,1996,Ecosystems,0.0007784911599056291
MMR,1997,Ecosystems,0.000814733701059458
MMR,1998,Ecosystems,0.0008012439500690806
MMR,1999,Ecosystems,0.0007997408974980839
MMR,2000,Ecosystems,0.0007787242081526536
MMR,2001,Ecosystems,0.00086069716721167
MMR,2002,Ecosystems,0.0008693263922585703
MMR,2003,Ecosystems,0.00034206060377535766
MMR,2004,Ecosystems,0.00026713314631399154
MMR,2005,Ecosystems,3.403903662750336e-05
MMR,2006,Ecosystems,6.421888623338052e-05
MMR,2007,Ecosystems,4.7297036780003486e-05
MMR,2008,Ecosystems,-0.00018032979739088933
MMR,2009,Ecosystems,-0.0002469076203676394
MMR,2010,Ecosystems,0.0001916285524111251
MMR,2011,Ecosystems,6.150029867582358e-05
MMR,2012,Ecosystems,0.00011997265504145173
MMR,2013,Ecosystems,-0.00019498201646569817
MMR,2014,Ecosystems,9.146187900198734e-05
MMR,2015,Ecosystems,-0.00039549546401534887
MMR,2016,Ecosystems,-0.00010228291123947969
MMR,2017,Ecosystems,-0.0007625674625501479
MMR,2018,Ecosystems,-0.0008749383367907394
MMR,2019,Ecosystems,-0.0007911161198190946
MMR,2020,Ecosystems,-0.0008268099976100266
MMR,2021,Ecosystems,-0.0007400973036777983
MMR,2022,Ecosystems,-0.0008091190709042452
MMR,2023,Ecosystems,-0.0007256979014680937
MMR,2024,Ecosystems,-0.0006912625375686077
MMR,2025,Ecosystems,-0.0005460213387496921
MMR,2026,Ecosystems,-0.000551019453011978
